qty,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,diff_comp_1,ratio_comp_1,diff_comp_2,ratio_comp_2,diff_comp_3,ratio_comp_3,total_cost,product_category_name_computers_accessories,product_category_name_consoles_games,product_category_name_cool_stuff,product_category_name_furniture_decor,product_category_name_garden_tools,product_category_name_health_beauty,product_category_name_perfumery,product_category_name_watches_gifts
3,34.21666667,82.63333333,36,450,1,9000,4.1,17,20,10,2,4,2017,7.678571429,19656,82.63333333,4.1,34.21666667,82.63333333,4.1,34.21666667,82.63333333,4.1,34.21666667,69.9,0.0,1.0,0.0,1.0,0.0,1.0,116.85,False,False,False,False,True,False,False,False
20,39.8975,97.58823529,36,450,1,9000,4.1,34,23,8,1,5,2017,19.04761905,19656,59.9,4.1,19.7325,59.9,4.2,26.24666667,97.58823529,4.1,39.8975,82.63333333,37.68823529,1.6291858979966611,37.68823529,1.6291858979966611,0.0,1.0,137.48573529,False,False,False,False,True,False,False,False
8,40.80125,89.0,36,450,1,9000,4.1,26,22,8,1,6,2017,7.619047619,19656,59.9,4.1,17.67,59.9,4.2,16.26,89.0,4.1,40.80125,97.58823529,29.1,1.4858096828046745,29.1,1.4858096828046745,0.0,1.0,129.80125,False,False,False,False,True,False,False,False
10,39.156,89.0,36,450,1,9000,4.1,74,21,10,1,7,2017,9.523809524,19656,59.9,4.1,16.62642857,59.9,4.2,16.11157895,59.9,4.1,15.39230769,89.0,29.1,1.4858096828046745,29.1,1.4858096828046745,29.1,1.4858096828046745,128.156,False,False,False,False,True,False,False,False
7,39.5,97.33333333,36,450,1,9000,4.1,113,23,8,1,8,2017,6.666666667,19656,59.9,4.1,18.16230769,59.9,4.2,17.68111111,59.9,4.1,18.05043478,89.0,37.43333333,1.6249304395659434,37.43333333,1.6249304395659434,37.43333333,1.6249304395659434,136.83333333000002,False,False,False,False,True,False,False,False
9,39.01888889,99.0,36,450,1,9000,4.1,115,21,9,1,9,2017,8.571428571,19656,59.9,4.1,17.18702703,59.9,4.2,16.81176471,59.9,4.1,16.29461538,97.33333333,39.1,1.652754590984975,39.1,1.652754590984975,39.1,1.652754590984975,138.01888889,False,False,False,False,True,False,False,False
14,45.77642857,99.0,36,450,1,9000,4.1,146,22,9,2,10,2017,13.33333333,19656,59.9,4.1,18.06589744,59.9,4.2,17.59548387,59.9,4.1,16.81416667,99.0,39.1,1.652754590984975,39.1,1.652754590984975,39.1,1.652754590984975,144.77642857,False,False,False,False,True,False,False,False
17,32.86352941,99.0,36,450,1,9000,4.1,339,22,8,4,11,2017,16.19047619,19656,52.40694444,4.1,17.06747253,53.64828125,4.2,16.07586207,53.78571429,4.1,18.27550725,99.0,46.59305556,1.889062624388334,45.35171875,1.8453526877899749,45.21428571,1.8406374500525389,131.86352941,False,False,False,False,True,False,False,False
11,38.05545455,99.0,36,450,1,9000,4.1,184,21,10,1,12,2017,10.47619048,19656,55.1,4.1,15.75960784,55.425,4.2,19.184375,55.75,4.1,17.26727273,99.0,43.9,1.7967332123411979,43.575,1.7861975642760488,43.25,1.7757847533632287,137.05545455,False,False,False,False,True,False,False,False
4,41.54,99.5,36,450,1,9000,4.1,137,23,8,2,1,2018,50.0,19656,49.9,4.1,19.495,49.9,4.2,15.84103448,49.9,4.1,16.50512821,99.0,49.6,1.993987975951904,49.6,1.993987975951904,49.6,1.993987975951904,141.04,False,False,False,False,True,False,False,False
2,43.555,101.0,36,450,1,9000,4.1,160,20,8,2,2,2018,25.0,19656,50.54516129,4.1,16.61153846,50.9,4.2,17.51944444,50.35714286,4.1,18.281875,99.5,50.45483871,1.9982130321143545,50.1,1.9842829076620825,50.64285714,2.005673758751451,144.555,False,False,False,False,True,False,False,False
1,67.02,101.0,36,450,1,9000,4.1,116,22,9,1,3,2018,9.107142857,19656,53.9,4.1,20.35967742,53.9,4.2,21.85285714,53.9,4.1,19.02423077,101.0,47.1,1.8738404452690167,47.1,1.8738404452690167,47.1,1.8738404452690167,168.01999999999998,False,False,False,False,True,False,False,False
1,79.76,101.0,36,450,1,9000,4.1,111,21,9,1,4,2018,7.678571429,19656,53.9,4.1,5.28173913,53.9,4.2,19.46846154,53.9,4.1,19.07142857,101.0,47.1,1.8738404452690167,47.1,1.8738404452690167,47.1,1.8738404452690167,180.76,False,False,False,False,True,False,False,False
13,13.47307692,19.9,49,100,4,150,4.2,13,21,10,1,7,2017,7.59180791,2304,19.9,4.2,13.47307692,19.9,3.9,11.85,19.9,4.2,13.47307692,19.85,0.0,1.0,0.0,1.0,0.0,1.0,33.37307692,False,True,False,False,False,False,False,False
24,16.16375,19.9,49,100,4,150,4.2,33,23,8,1,8,2017,20.33898305,2304,19.9,4.2,16.16375,19.9,3.9,15.83272727,19.9,4.2,16.16375,19.9,0.0,1.0,0.0,1.0,0.0,1.0,36.06375,False,True,False,False,False,False,False,False
9,16.13333333,19.9,49,100,4,150,4.2,17,21,9,1,9,2017,7.627118644,2304,19.9,4.2,16.13333333,19.9,3.9,15.41111111,19.9,4.2,16.13333333,19.9,0.0,1.0,0.0,1.0,0.0,1.0,36.03333333,False,True,False,False,False,False,False,False
28,13.53428571,21.54285714,49,100,4,150,4.2,38,22,9,2,10,2017,23.72881356,2304,21.54285714,4.2,13.53428571,20.66666667,3.9,12.80333333,21.54285714,4.2,13.53428571,19.9,0.0,1.0,0.8761904699999974,1.0423963130576779,0.0,1.0,35.07714285,False,True,False,False,False,False,False,False
28,13.64535714,24.5,49,100,4,150,4.2,49,22,8,4,11,2017,23.72881356,2304,24.5,4.2,13.64535714,24.5,3.9,13.65217391,24.5,4.2,13.64535714,21.54285714,0.0,1.0,0.0,1.0,0.0,1.0,38.14535714,False,True,False,False,False,False,False,False
16,12.87375,24.5,49,100,4,150,4.2,30,21,10,1,12,2017,13.55932203,2304,24.5,4.2,12.87375,24.5,3.9,13.52470588,24.5,4.2,12.87375,24.5,0.0,1.0,0.0,1.0,0.0,1.0,37.37375,False,True,False,False,False,False,False,False
5,15.256,32.5,49,100,4,150,4.2,6,20,8,2,2,2018,20.83333333,2304,32.5,4.2,15.256,32.5,3.9,11.85,32.5,4.2,15.256,32.45,0.0,1.0,0.0,1.0,0.0,1.0,47.756,False,True,False,False,False,False,False,False
6,18.05666667,32.5,49,100,4,150,4.2,13,22,9,1,3,2018,25.0,2304,32.5,4.2,18.05666667,32.74285714,3.9,14.02714286,32.5,4.2,18.05666667,32.5,0.0,1.0,-0.24285713999999814,0.9925828971197717,0.0,1.0,50.55666667,False,True,False,False,False,False,False,False
7,12.98571429,35.05714286,49,100,4,150,4.2,13,21,9,1,4,2018,29.16666667,2304,35.05714286,4.2,12.98571429,34.2,3.9,15.015,35.05714286,4.2,12.98571429,32.5,0.0,1.0,0.8571428599999962,1.0250626567251462,0.0,1.0,48.04285715,False,True,False,False,False,False,False,False
3,15.87,36.2,49,100,4,150,4.2,3,23,8,3,5,2018,12.5,2304,36.2,4.2,15.87,36.2,4.2,15.87,36.2,4.2,15.87,35.05714286,0.0,1.0,0.0,1.0,0.0,1.0,52.07,False,True,False,False,False,False,False,False
2,18.35,36.2,49,100,4,150,4.2,2,21,9,0,6,2018,8.333333333,2304,36.2,4.2,18.35,36.2,4.2,18.35,36.2,4.2,18.35,36.2,0.0,1.0,0.0,1.0,0.0,1.0,54.550000000000004,False,True,False,False,False,False,False,False
1,22.18,36.2,49,100,4,150,4.2,1,22,9,1,7,2018,7.59180791,2304,36.2,4.2,22.18,36.2,4.2,22.18,36.2,4.2,22.18,36.2,0.0,1.0,0.0,1.0,0.0,1.0,58.38,False,True,False,False,False,False,False,False
1,17.16,59.9,57,339,2,1800,4.2,17,20,10,2,4,2017,7.879612825,32560,59.9,4.2,17.16,59.9,4.2,17.16,59.9,4.2,17.16,59.85,0.0,1.0,0.0,1.0,0.0,1.0,77.06,False,False,False,False,True,False,False,False
1,13.44,59.9,57,339,2,1800,4.2,34,23,8,1,5,2017,8.756805808,32560,59.9,4.1,19.7325,59.9,4.2,26.24666667,59.9,4.2,13.44,59.9,0.0,1.0,0.0,1.0,0.0,1.0,73.34,False,False,False,False,True,False,False,False
4,17.67,59.9,57,339,2,1800,4.2,74,21,10,1,7,2017,8.711433757,32560,59.9,4.1,16.62642857,59.9,4.2,16.11157895,59.9,4.1,15.39230769,59.85,0.0,1.0,0.0,1.0,0.0,1.0,77.57,False,False,False,False,True,False,False,False
6,16.26,59.9,57,339,2,1800,4.2,113,23,8,1,8,2017,11.31276467,32560,59.9,4.1,18.16230769,59.9,4.2,17.68111111,59.9,4.1,18.05043478,59.9,0.0,1.0,0.0,1.0,0.0,1.0,76.16,False,False,False,False,True,False,False,False
5,16.782,59.9,57,339,2,1800,4.2,115,21,9,1,9,2017,8.620689655,32560,59.9,4.1,17.18702703,59.9,4.2,16.81176471,59.9,4.1,16.29461538,59.9,0.0,1.0,0.0,1.0,0.0,1.0,76.682,False,False,False,False,True,False,False,False
11,14.80727273,59.9,57,339,2,1800,4.2,146,22,9,2,10,2017,18.96551724,32560,59.9,4.1,18.06589744,59.9,4.2,17.59548387,59.9,4.1,16.81416667,59.9,0.0,1.0,0.0,1.0,0.0,1.0,74.70727273,False,False,False,False,True,False,False,False
20,16.016,51.32222222,57,339,2,1800,4.2,339,22,8,4,11,2017,34.48275862,32560,52.40694444,4.1,17.06747253,53.64828125,4.2,16.07586207,53.78571429,4.1,18.27550725,59.9,-1.0847222199999962,0.9793019373369138,-2.326059029999996,0.9566424314851653,-2.463492070000001,0.9541980226065712,67.33822222,False,False,False,False,True,False,False,False
10,18.103,56.97777778,57,339,2,1800,4.2,184,21,10,1,12,2017,17.24137931,32560,55.1,4.1,15.75960784,55.425,4.2,19.184375,55.75,4.1,17.26727273,51.32222222,1.8777777799999953,1.0340794515426497,1.5527777799999996,1.0280158372575552,1.2277777799999967,1.0220229198206277,75.08077778,False,False,False,False,True,False,False,False
